disease,remedy,preparation,usage
Allergies,Turmeric and Honey,Mix 1/2 tsp turmeric powder with 1 tsp honey.,Consume twice daily to boost immunity and reduce allergic reactions.
Alzheimer’s disease,Brahmi (Bacopa monnieri),Prepare Brahmi tea by boiling 1 tsp dried Brahmi leaves in water.,Drink once daily to enhance memory and cognitive function.
Anal cancer,Aloe Vera,Mix 2 tbsp Aloe Vera gel in water or consume directly.,Take daily to support overall health and reduce inflammation.
Anaphylaxis,Tulsi (Holy Basil),Boil 5–6 Tulsi leaves in water. Add honey for taste.,Consume as a calming tea for post-reaction recovery (not a substitute for immediate medical care).
Angina,Arjuna (Terminalia arjuna),Boil 1 tsp Arjuna bark powder in water. Strain and let cool.,Drink twice daily to support heart health.
Angioedema,Neem and Turmeric Paste,Crush fresh neem leaves and mix with turmeric powder to make a paste.,Apply to the affected skin area to reduce swelling and irritation.
Ankle sprain,Mustard Oil and Turmeric,Warm mustard oil and mix with 1/2 tsp turmeric powder.,Massage gently onto the sprained area for pain relief and faster healing.
Ankle avulsion fracture,Sandalwood Paste,Mix sandalwood powder with water to form a paste.,Apply to the swollen area for cooling and inflammation relief.
Ankylosing spondylitis,Castor Oil,Warm castor oil slightly and apply to affected joints.,Massage gently before bedtime to reduce stiffness and pain.
Anorexia nervosa,Ginger and Lemon,Grate a small piece of ginger and mix with lemon juice and a pinch of rock salt.,Consume before meals to stimulate appetite.
Anxiety,Brahmi and Ashwagandha,Prepare tea with 1/2 tsp each of Brahmi and Ashwagandha powder.,Drink once daily to calm the mind and manage anxiety.
Anxiety disorders in children,Tulsi and Honey,Crush 5 Tulsi leaves and mix with 1 tsp honey.,Give to children once daily to reduce stress and calm their mind.
Appendicitis,Triphala (Three fruits blend),Mix 1 tsp Triphala powder in warm water.,Drink once daily to improve digestion and support inflammation reduction.
Arterial thrombosis,Garlic (Allium sativum),Crush 1–2 garlic cloves and consume raw or mix with honey.,Consume daily to improve blood circulation and reduce clot formation.
Arthritis,Turmeric and Ginger Tea,Boil 1 tsp turmeric powder and 1-inch ginger in water. Strain and add honey.,Drink twice daily to reduce inflammation and joint pain.
Asbestosis,Tulsi (Holy Basil),Prepare Tulsi tea by boiling 5–6 leaves in water.,Drink once daily to support respiratory health.
Asthma,Vasaka (Adhatoda vasica),Prepare a decoction with 1 tsp dried Vasaka leaves boiled in water.,Drink twice daily to improve breathing and reduce symptoms.
Ataxia,Brahmi (Bacopa monnieri),Boil 1 tsp Brahmi powder in water or consume as a capsule.,Take daily to enhance nervous system function and coordination.
Atopic eczema,Neem and Coconut Oil,Mix neem leaf paste with coconut oil.,Apply to affected areas twice daily to reduce itching and inflammation.
Atrial fibrillation,Arjuna (Terminalia arjuna),Boil 1 tsp Arjuna bark powder in water. Strain and let cool.,Drink twice daily to support heart health and regulate heartbeat.
Attention deficit hyperactivity disorder (ADHD),Brahmi and Shankhpushpi,Mix equal parts of Brahmi and Shankhpushpi powders in milk. Add honey for taste.,Give once daily to improve focus and reduce hyperactivity in children.
Autism,Ashwagandha and Brahmi,Boil 1/2 tsp Ashwagandha and 1/2 tsp Brahmi powder in milk or water.,Consume once daily to support brain function and calmness.
Bacterial vaginosis,Neem and Yogurt,Crush neem leaves to make a paste. Mix with plain yogurt.,Apply externally to the affected area for antibacterial effects.
Benign prostate enlargement,Gokshura (Tribulus terrestris),Prepare a tea with 1 tsp Gokshura powder in hot water.,Drink once daily to improve urinary flow and prostate health.
Bile duct cancer (cholangiocarcinoma),Kalmegh (Andrographis paniculata),Boil 1 tsp Kalmegh powder in water for 10 minutes.,Drink once daily to support liver function and immunity.
Binge eating,Triphala,Mix 1 tsp Triphala powder in warm water.,Drink before bedtime to improve digestion and reduce binge cravings.
Bipolar disorder,Brahmi (Bacopa monnieri),Boil 1 tsp Brahmi powder in water or consume as capsules.,Take daily to stabilize mood and enhance brain function.
Bladder cancer,Turmeric (Curcuma longa),Mix 1 tsp turmeric powder in warm milk or water.,Drink daily to reduce inflammation and fight free radicals.
Blood poisoning (sepsis),Neem (Azadirachta indica),Boil neem leaves in water and let cool.,Consume as a decoction daily to purify the blood.
Bone cancer,Ashwagandha (Withania somnifera),Prepare Ashwagandha tea by boiling 1 tsp powder in water. Add honey for taste.,Drink daily to reduce pain and support immunity.
Bone cancer: Teenagers and young adults,Wheatgrass Juice,Extract fresh wheatgrass juice (about 30 ml).,Consume daily on an empty stomach to detoxify the body.
Bowel cancer,Aloe Vera and Triphala,Mix 1 tsp Triphala powder with Aloe Vera juice.,Drink daily to improve digestion and support colon health.
Bowel incontinence,Isabgol (Psyllium husk),Mix 1 tbsp Isabgol in warm water or milk.,Consume once daily to regulate bowel movements.
Bowel polyps,Turmeric and Honey,Mix 1 tsp turmeric powder with 1 tsp honey.,Take daily to reduce inflammation and prevent growth of polyps.
Brain stem death,Ashwagandha (Withania somnifera),Prepare a tea with 1 tsp Ashwagandha powder in water.,Consume daily to support nervous system health.
Brain tumours,Brahmi (Bacopa monnieri),Prepare Brahmi tea by boiling 1 tsp dried leaves in water.,Drink once daily to support brain function and reduce oxidative stress.
Brain tumours: Children,Tulsi (Holy Basil),Crush 5–6 Tulsi leaves and boil in water. Add honey for taste.,Serve once daily to boost immunity and overall health.
Brain tumours: Teenagers and young adults,Amla (Phyllanthus emblica),Mix 1 tsp Amla powder in water or consume fresh Amla juice.,Take daily to increase antioxidant levels.
Breast cancer (female),Turmeric and Ginger Tea,Boil 1 tsp turmeric and 1 tsp grated ginger in water.,Drink once daily to reduce inflammation and improve immunity.
Breast cancer (male),Turmeric and Green Tea,Mix 1 tsp turmeric powder in green tea.,Drink daily to reduce inflammation and fight free radicals.
Bronchiectasis,Vasaka (Adhatoda vasica),Boil 1 tsp Vasaka powder in water to make a decoction.,Drink twice daily to support respiratory health.
Bronchitis,Tulsi and Ginger Tea,Boil 5–6 Tulsi leaves with grated ginger in water.,Drink twice daily to relieve respiratory inflammation.
Bulimia,Triphala and Honey,Mix 1 tsp Triphala powder with 1 tsp honey in warm water.,Consume before bedtime to improve digestion and reduce stress.
Bunion,Castor Oil,Warm castor oil and massage onto the affected area.,Apply daily to reduce inflammation and pain.
Carcinoid syndrome and carcinoid tumours,Turmeric and Wheatgrass,Mix 1 tsp turmeric powder in fresh wheatgrass juice.,Consume daily to detoxify the body and reduce inflammation.
Cardiovascular disease,Arjuna (Terminalia arjuna),Prepare a decoction with 1 tsp Arjuna bark powder in water.,Drink twice daily to support heart health.
Carpal tunnel syndrome,Aloe Vera and Turmeric Paste,Mix Aloe Vera gel with turmeric powder to form a paste.,Apply to the wrist area to reduce pain and inflammation.
Catarrh,Mulethi (Licorice root),Boil 1 tsp Mulethi powder in water. Add honey for taste.,Drink twice daily to relieve congestion.
Cellulitis,Neem and Turmeric Paste,Mix crushed neem leaves with turmeric powder to form a paste.,Apply to the affected skin to reduce infection and inflammation.
Cerebral palsy,Ashwagandha and Brahmi,Boil 1/2 tsp Ashwagandha and 1/2 tsp Brahmi powder in milk or water.,Consume daily to support brain and nervous system function.
Cervical cancer,Amla (Phyllanthus emblica),Mix 1 tsp Amla powder in water or consume fresh Amla juice.,Drink daily to boost immunity and antioxidant levels.
Cervical spondylosis,Castor Oil and Ginger,Warm castor oil and add grated ginger to it.,Massage the neck area to relieve pain and stiffness.
Chest and rib injury,Turmeric and Milk,Mix 1 tsp turmeric powder in warm milk.,Drink once daily to reduce pain and inflammation.
Chest infection,Vasaka (Adhatoda vasica),Prepare a decoction with 1 tsp Vasaka powder boiled in water.,Drink twice daily to relieve chest congestion.
Chickenpox,Neem and Turmeric Paste,Mix crushed neem leaves with turmeric powder and water to form a paste.,Apply to affected areas to reduce itching and promote healing.
Chilblains,Mustard Oil and Garlic,Warm mustard oil with crushed garlic cloves.,Massage onto the affected area to improve circulation and reduce discomfort.
Chlamydia,Neem and Aloe Vera,Consume 2 tbsp Aloe Vera juice and neem tea daily.,Helps fight bacterial infections and boosts immunity.
Chronic fatigue syndrome,Ashwagandha and Turmeric,Prepare tea with 1/2 tsp Ashwagandha and 1/2 tsp turmeric powder.,Drink once daily to reduce fatigue and improve energy levels.
Chronic kidney disease,Punarnava (Boerhavia diffusa),Boil 1 tsp Punarnava powder in water to make a decoction.,Drink twice daily to improve kidney function and reduce swelling.
Chronic lymphocytic leukaemia,Wheatgrass Juice,Extract fresh wheatgrass juice (about 30 ml).,Consume daily to detoxify the body and boost immunity.
Chronic myeloid leukaemia,Amla and Turmeric,Mix 1 tsp Amla powder and 1/2 tsp turmeric powder in water.,Drink daily to reduce oxidative stress and support immunity.
Chronic obstructive pulmonary disease (COPD),Vasaka and Ginger,Boil 1 tsp Vasaka powder and grated ginger in water.,Drink twice daily to improve lung function and reduce symptoms.
Chronic pain,Turmeric and Ginger Tea,Prepare tea with 1 tsp turmeric and 1 tsp grated ginger.,Drink twice daily to reduce inflammation and manage pain.
Chronic pancreatitis,Aloe Vera and Turmeric,Mix 1 tbsp Aloe Vera gel with 1/2 tsp turmeric powder in water.,Drink daily to reduce inflammation and support digestion.
Cirrhosis,Kalmegh (Andrographis paniculata),Boil 1 tsp Kalmegh powder in water for 10 minutes.,Drink once daily to detoxify the liver and improve its function.
Clostridium difficile,Ginger and Honey,Grate a small piece of ginger and mix with 1 tsp honey.,Consume twice daily to reduce digestive inflammation.
Coeliac disease,Turmeric and Aloe Vera,Mix 1 tsp turmeric powder with Aloe Vera juice.,Drink daily to reduce intestinal inflammation and improve digestion.
Cold sore,Licorice Root Paste,Mix Mulethi (licorice root) powder with water to form a paste.,Apply to the cold sore area for antiviral effects.
Coma,Brahmi and Ashwagandha,Boil 1/2 tsp each of Brahmi and Ashwagandha powder in water.,Administer under medical supervision for nervous system support.
Common cold,Tulsi and Ginger Tea,Boil 5–6 Tulsi leaves and 1 tsp grated ginger in water.,Drink twice daily to relieve symptoms and boost immunity.
Concussion,Brahmi and Ashwagandha,Prepare tea using 1/2 tsp each of Brahmi and Ashwagandha powder.,Drink daily to support brain recovery and reduce inflammation.
Congenital heart disease,Arjuna Bark,Boil 1 tsp Arjuna bark powder in water to make a decoction.,Drink twice daily to support heart health.
Conjunctivitis,Rose Water and Turmeric,Mix a pinch of turmeric in rose water.,Use as eye drops (1–2 drops twice daily) to reduce inflammation.
Constipation,Triphala,Soak 1 tsp Triphala powder in water overnight and drink in the morning.,Consume daily to promote bowel movements.
Coronary heart disease,Garlic and Honey,Crush 2 garlic cloves and mix with 1 tsp honey.,Consume daily to reduce cholesterol and improve heart function.
Coronavirus (COVID-19),Giloy (Tinospora cordifolia),Boil 1 tsp Giloy powder in water to make a decoction.,Drink twice daily to boost immunity and reduce inflammation.
Coronavirus (COVID-19): Longer-term effects (long COVID),Ashwagandha and Tulsi,Prepare tea with 1/2 tsp Ashwagandha powder and Tulsi leaves.,Drink once daily to improve stamina and reduce fatigue.
Costochondritis,Turmeric and Milk,Mix 1 tsp turmeric powder in warm milk.,Drink once daily to reduce inflammation and pain.
Cough,Mulethi (Licorice root),Boil 1 tsp Mulethi powder in water and add honey for taste.,Drink twice daily to soothe the throat and reduce coughing.
Crohn’s disease,Aloe Vera and Turmeric,Mix 1 tbsp Aloe Vera gel with 1/2 tsp turmeric powder in water.,Drink daily to reduce intestinal inflammation and improve digestion.
Croup,Tulsi and Ginger,Boil 5–6 Tulsi leaves and grated ginger in water.,Drink twice daily to relieve symptoms and support the respiratory system.
Cystic fibrosis,Ashwagandha and Vasaka,Prepare tea with 1/2 tsp each of Ashwagandha and Vasaka powder.,Drink daily to improve lung function and overall strength.
Cystitis,Cranberry and Turmeric,Mix cranberry juice with 1/2 tsp turmeric powder.,Drink twice daily to reduce bladder inflammation.
Deafblindness,Brahmi and Shankhpushpi,Prepare tea with 1/2 tsp each of Brahmi and Shankhpushpi powder.,Drink daily to support brain and sensory health.
Deep vein thrombosis,Ginger and Turmeric,Prepare tea with 1 tsp grated ginger and 1/2 tsp turmeric powder.,Drink twice daily to improve circulation and reduce clotting.
Degenerative cervical myelopathy,Ashwagandha and Turmeric,Mix 1 tsp Ashwagandha powder and 1/2 tsp turmeric powder in milk.,Drink daily to reduce inflammation and strengthen the spine.
Dehydration,Coconut Water and Amla,Mix fresh coconut water with 1 tsp Amla juice.,Drink twice daily to replenish electrolytes and boost hydration.
Delirium,Brahmi and Tulsi,Boil 1/2 tsp Brahmi powder with Tulsi leaves in water.,Drink daily to calm the mind and reduce symptoms.
Dementia,Ashwagandha and Brahmi,Prepare tea with 1/2 tsp Ashwagandha and Brahmi powder in water.,Drink daily to improve memory and cognitive function.
Dental abscess,Clove and Neem Oil,Mix clove oil and neem oil in equal parts.,Apply directly to the affected tooth area for pain relief and antibacterial effect.
Depression,Ashwagandha and Tulsi,Boil 1/2 tsp Ashwagandha powder and Tulsi leaves in water.,Drink daily to reduce stress and uplift mood.
Dermatitis herpetiformis,Neem and Turmeric Paste,Mix crushed neem leaves with turmeric powder and water to form a paste.,Apply to affected skin to reduce itching and promote healing.
Diabetes,Karela (Bitter gourd) Juice,Extract fresh juice from Karela and consume.,Drink daily on an empty stomach to regulate blood sugar levels.
Diabetic retinopathy,Amla and Turmeric,Mix 1 tsp Amla powder and 1/2 tsp turmeric powder in water.,Drink daily to improve eye health and reduce oxidative stress.
Diarrhoea,Bael fruit (Aegle marmelos),Make a pulp of the ripe bael fruit and mix it with warm water.,Drink 2-3 times daily until symptoms improve.
Discoid eczema,Neem leaves (Azadirachta indica),"Boil neem leaves in water, cool it, and use it as a wash for the affected area.",Apply daily until the skin improves.
Diverticular disease and diverticulitis,"Triphala powder (Haritaki, Bibhitaki, Amalaki)",Mix 1 teaspoon of Triphala powder with warm water.,Drink every night before bed for improved digestion.
Dizziness (Lightheadedness),Ginger (Zingiber officinale),Boil ginger slices in water to make tea.,Drink 2-3 times daily to reduce dizziness.
Down’s syndrome,Ashwagandha (Withania somnifera),Mix ashwagandha powder with milk or warm water.,Use as a supplement under guidance to improve general health.
Dry mouth,Licorice root (Glycyrrhiza glabra),Chew on licorice root or make a tea from it.,Sip throughout the day to stimulate saliva production.
Dysphagia (swallowing problems),Slippery elm bark,Make a paste by mixing slippery elm powder with water.,Consume small amounts before meals to ease swallowing.
Dystonia,Brahmi (Bacopa monnieri),Take Brahmi powder or capsules as directed.,Regular use may improve neurological health; consult an expert for dosage.
Earache,Garlic oil,"Heat crushed garlic in sesame oil, strain, and cool.",Use 2-3 drops in the affected ear for relief.
Earwax build-up,Coconut oil,Warm the oil slightly.,Use a few drops in the ear to soften wax; clean gently after a few hours.
Ebola virus disease,Tulsi (Ocimum sanctum),Make a tea by boiling tulsi leaves in water.,Drink daily to boost immunity; not a cure but supportive care.
Ectopic pregnancy,Ashoka Tree Bark (Saraca indica),Boil the bark in water to make a decoction.,Consult an Ayurvedic practitioner for proper dosage; supportive care only.
Edwards’ syndrome,Ashwagandha (Withania somnifera),Mix ashwagandha powder with milk or water.,Use as a supplement under medical supervision to improve general health.
Endometriosis,Turmeric (Curcuma longa),Mix turmeric powder with warm milk.,Drink daily to reduce inflammation and pain.
Epilepsy,Brahmi (Bacopa monnieri),Prepare a tea using Brahmi leaves.,Drink once daily to support neurological health.
Erectile dysfunction (impotence),Shilajit,Take Shilajit resin mixed with warm milk.,Consume as per guidance from an Ayurvedic expert to improve vitality.
Escherichia coli (E. coli) O157,Garlic (Allium sativum),Crush garlic and consume raw or mix it with warm water.,Take once daily to fight bacterial infections.
Ewing sarcoma,Guduchi (Tinospora cordifolia),Prepare a decoction by boiling Guduchi stem in water.,Drink daily to boost immunity; not a cure but supportive care.
Ewing sarcoma: Children, , , 
Eye cancer,Triphala,"Prepare Triphala water by soaking Triphala powder overnight, then strain.",Use as an eye wash daily to cleanse and soothe the eyes.
Eating disorders,Brahmi (Bacopa monnieri),Prepare a tea using Brahmi powder or leaves.,Drink once daily to support mental health and reduce stress.
Farting,Fennel seeds (Foeniculum vulgare),Boil fennel seeds in water to make a tea.,Drink after meals to reduce bloating and gas.
Febrile seizures,Tulsi (Ocimum sanctum),Make a tea by boiling Tulsi leaves in water.,Sip twice daily to boost immunity and reduce fever risk.
Feeling of something in your throat (Globus),Licorice root (Glycyrrhiza glabra),Prepare licorice tea by boiling the root in water.,Drink twice daily to soothe the throat.
Fever in adults,Coriander seeds (Coriandrum sativum),"Boil coriander seeds in water, strain, and add honey.",Drink 2-3 times daily to reduce fever.
Fever in children,Tulsi (Ocimum sanctum),Boil Tulsi leaves with water and add honey for taste.,Give small sips throughout the day to lower fever naturally.
Fibroids,Aloe vera,Mix Aloe vera gel with turmeric and honey.,Consume daily on an empty stomach to manage fibroids.
Fibromyalgia,Ashwagandha (Withania somnifera),Mix ashwagandha powder with warm milk or water.,Take once or twice daily to reduce pain and inflammation.
Flu,Ginger (Zingiber officinale),Make ginger tea by boiling slices in water; add honey and lemon.,Drink 2-3 times daily to ease flu symptoms.
Foetal alcohol syndrome,Brahmi (Bacopa monnieri),Prepare a tea using Brahmi powder or capsules.,Use under medical guidance to support cognitive and general health.
Food allergy,Neem (Azadirachta indica),Boil neem leaves in water to make a decoction.,Drink once daily to boost immunity and reduce allergic reactions.
Food poisoning,Ginger (Zingiber officinale),Mix ginger juice with honey and lemon.,Consume 2-3 times daily to reduce nausea and calm the stomach.
Fragility fracture of the hip,Moringa (Moringa oleifera),Consume Moringa leaf powder mixed with milk.,Drink once daily to support bone health and healing.
Frozen shoulder,Castor oil,Warm castor oil and massage the affected shoulder.,Apply daily to improve circulation and reduce stiffness.
Functional neurological disorder (FND),Brahmi (Bacopa monnieri),Make a tea with Brahmi leaves.,Drink daily to support neurological function and reduce stress.
Fungal nail infection,Turmeric (Curcuma longa),Make a paste with turmeric and water; apply to the affected nail.,Apply twice daily until the infection subsides.
Gallbladder cancer,Kalmegh (Andrographis paniculata),Prepare a decoction with Kalmegh leaves.,Drink daily as a supportive therapy; consult an Ayurvedic expert for dosage.
Gallstones,Dandelion root,Boil dandelion root in water to make a tea.,Drink twice daily to support liver and gallbladder health.
Ganglion cyst,Aloe vera,Apply fresh Aloe vera gel directly to the cyst.,Apply twice daily for relief and size reduction.
Gastroenteritis,Pomegranate peel,Boil pomegranate peel in water to make a tea.,Drink 2-3 times daily to soothe the stomach and prevent dehydration.
Gastro-oesophageal reflux disease (GORD),Licorice root (Glycyrrhiza glabra),Prepare licorice tea by boiling the root in water.,Drink before meals to reduce acid reflux.
Genital herpes,Neem (Azadirachta indica),Prepare a neem paste by crushing leaves and applying to the affected area.,Apply once daily to reduce symptoms.
Genital symptoms,Neem (Azadirachta indica),Prepare a neem water solution by boiling neem leaves.,Use the solution for washing the genital area to reduce infection and irritation.
Genital warts,Tea tree oil,Dilute tea tree oil with coconut oil and apply to the warts.,Apply daily until the warts disappear.
Germ cell tumours,Ashwagandha (Withania somnifera),Mix Ashwagandha powder with warm milk.,Consume daily to support overall immune health under medical supervision.
Glandular fever,Tulsi (Ocimum sanctum),Boil Tulsi leaves in water to make a tea.,Drink 2-3 times daily to boost immunity and reduce symptoms.
Golfers elbow,Turmeric (Curcuma longa),Mix turmeric powder with warm milk and a pinch of black pepper.,Drink daily to reduce pain and inflammation.
Gonorrhoea,Neem leaves (Azadirachta indica),Boil neem leaves in water and use as a wash for the affected area.,Use daily to reduce symptoms; also drink neem tea for added benefits.
Gout,Fenugreek seeds (Trigonella foenum-graecum),Soak fenugreek seeds overnight and consume them in the morning.,Take daily to reduce uric acid levels.
Greater trochanteric pain syndrome,Castor oil,Warm castor oil and gently massage the affected area.,Apply daily to relieve pain and inflammation.
Gum disease,Triphala powder,Mix Triphala powder with water and use it as a mouth rinse.,Rinse twice daily to reduce inflammation and improve gum health.
Haemorrhoids (piles),Aloe vera,Apply fresh Aloe vera gel to the affected area.,Use 2-3 times daily for soothing and healing effects.
"Hand, foot and mouth disease",Coconut oil,Apply virgin coconut oil to the affected areas.,Use multiple times daily to reduce irritation and promote healing.
Hay fever,Butterbur (Petasites hybridus),Take butterbur supplements or prepare tea from dried leaves.,Drink once daily to reduce allergic reactions.
Head and neck cancer,Wheatgrass (Triticum aestivum),Prepare wheatgrass juice by blending fresh wheatgrass.,Drink daily to boost immunity and detoxify the body.
Head lice and nits,Neem oil,Apply neem oil directly to the scalp and hair.,Leave for an hour and wash; repeat twice weekly until the lice are gone.
Headaches,Peppermint oil,Massage peppermint oil on the temples and forehead.,Use as needed for headache relief.
Hearing loss,Garlic oil,"Heat crushed garlic in olive oil, strain, and cool.",Use 2-3 drops in the ear daily to improve hearing and reduce infections.
Heart attack,Arjuna (Terminalia arjuna),Boil Arjuna bark powder in water to prepare a decoction.,Drink daily as a preventive measure to strengthen the heart.
Heart block,Garlic (Allium sativum),Consume 1-2 raw garlic cloves daily.,Use to improve heart health and blood circulation.
Heart failure,Hawthorn berry (Crataegus spp.),Prepare a tea from dried hawthorn berries.,Drink daily to support cardiovascular health.
Heart palpitations,Ashwagandha (Withania somnifera),Mix Ashwagandha powder with warm milk.,Drink once daily to calm the nervous system and regulate heartbeat.
Hepatitis A,Kalmegh (Andrographis paniculata),Prepare a decoction by boiling Kalmegh leaves in water.,Drink daily to support liver function and immunity.
Hepatitis B,Kutki (Picrorhiza kurroa),Mix Kutki powder with honey or water.,Take once daily to improve liver health.
Hepatitis C,Bhumyamalaki (Phyllanthus niruri),Boil Bhumyamalaki leaves in water to prepare a tea.,Drink twice daily to support liver detoxification.
Hiatus hernia,Licorice root (Glycyrrhiza glabra),Make a tea with licorice root.,Drink before meals to soothe the stomach and esophagus.
High blood pressure (hypertension),Hibiscus (Hibiscus sabdariffa),Prepare hibiscus tea by boiling the dried flowers in water.,Drink once daily to lower blood pressure.
High cholesterol,Fenugreek seeds (Trigonella foenum-graecum),Soak fenugreek seeds overnight and consume in the morning.,Use daily to help lower cholesterol levels.
HIV,Neem (Azadirachta indica),Boil neem leaves in water to make a tea.,Drink daily to boost immunity; use alongside prescribed medications.
Hives,Aloe vera,Apply fresh Aloe vera gel directly to the affected area.,Use multiple times daily to soothe the skin and reduce itching.
Hodgkin lymphoma,Tulsi (Ocimum sanctum),Make a tea by boiling Tulsi leaves in water.,Drink daily to strengthen immunity during treatment.
Hodgkin lymphoma: Children,Brahmi (Bacopa monnieri),Prepare a tea using Brahmi leaves or capsules.,Use regularly to support neurological health; consult an expert for dosage.
Hodgkin lymphoma: Teenagers and young adults,Turmeric (Curcuma longa),Mix turmeric powder with honey or milk.,Consume daily for its anti-inflammatory and antioxidant properties.
Huntington’s disease,Brahmi (Bacopa monnieri),Prepare Brahmi tea by steeping leaves in boiling water.,Drink daily to support cognitive health and reduce neurological symptoms.
Hydrocephalus,Brahmi (Bacopa monnieri),Make a tea by boiling Brahmi leaves or powder in water.,Drink daily to support brain health and function.
Hyperglycaemia (high blood sugar),Bitter gourd (Momordica charantia),Extract juice from fresh bitter gourd.,Consume on an empty stomach daily to regulate blood sugar levels.
Hyperhidrosis,Sage (Salvia officinalis),Prepare sage tea by steeping dried sage leaves in hot water.,Drink once daily to reduce excessive sweating.
Hypoglycaemia (low blood sugar),Indian gooseberry (Amla),Consume Amla juice mixed with a pinch of salt.,Take when experiencing low blood sugar to stabilize levels.
Idiopathic pulmonary fibrosis,Vasaka (Adhatoda vasica),Prepare a decoction by boiling Vasaka leaves in water.,Drink twice daily to support respiratory health.
If your child has cold or flu symptoms,Ginger (Zingiber officinale),"Boil grated ginger with water, add honey and lemon for taste.",Give small sips throughout the day to alleviate symptoms.
Impetigo,Turmeric (Curcuma longa),Make a paste with turmeric powder and water; apply to the affected area.,Apply twice daily to reduce infection and promote healing.
Indigestion,Ajwain (Carom seeds),Boil Ajwain seeds in water and add a pinch of black salt.,Drink after meals to improve digestion.
Ingrown toenail,Tea tree oil,Mix tea tree oil with coconut oil and apply to the affected area.,Apply twice daily to reduce inflammation and prevent infection.
Infertility,Ashwagandha (Withania somnifera),Mix Ashwagandha powder with warm milk.,Consume daily to improve reproductive health.
Inflammatory bowel disease (IBD),Aloe vera,Drink fresh Aloe vera juice daily.,Consume in the morning on an empty stomach to reduce gut inflammation.
Inherited heart conditions,Arjuna (Terminalia arjuna),Prepare a decoction by boiling Arjuna bark powder in water.,Drink daily to support heart health.
Insomnia,Chamomile (Matricaria chamomilla),Brew chamomile tea with dried flowers.,Drink before bedtime to promote relaxation and better sleep.
Iron deficiency anaemia,Spinach (Spinacia oleracea),Blend fresh spinach leaves into a juice or soup.,Consume daily to boost iron levels.
Irritable bowel syndrome (IBS),Peppermint oil,Take peppermint oil capsules or brew peppermint tea.,Use as needed to alleviate abdominal cramps and bloating.
Itching,Neem (Azadirachta indica),Make a paste with neem leaves and water; apply to the itchy area.,Apply twice daily to reduce itching and inflammation.
Itchy bottom,Turmeric (Curcuma longa),Prepare a paste with turmeric powder and coconut oil; apply externally.,Apply twice daily to reduce irritation.
Itchy skin,Aloe vera,Apply fresh Aloe vera gel directly to the affected skin.,Use multiple times daily to soothe and moisturize the skin.
Joint hypermobility,Ashwagandha (Withania somnifera),Mix Ashwagandha powder with warm milk or water.,Drink daily to improve joint stability and reduce pain.
Kaposi’s sarcoma,Turmeric (Curcuma longa),Mix turmeric powder with honey and consume daily.,Use as a supportive therapy for its anti-inflammatory properties.
Kidney cancer,Punarnava (Boerhavia diffusa),Prepare a decoction by boiling Punarnava leaves in water.,Drink daily under the supervision of an Ayurvedic practitioner.
